Year(Release_Date),Genre,Avg(Rating)
2005,Indie,76.5000
2005,RPG,84.0000
2005,Strategy,84.0000
2006,Action,76.4615
2006,Casual,71.4000
2006,Indie,76.0000
2006,Racing,79.0000
2006,RPG,73.6000
2006,Strategy,78.3043
2007,Action,79.3134
2007,Adventure,78.0833
2007,Casual,75.6000
2007,"Free to Play",92.0000
2007,Indie,69.6000
2007,Racing,69.0000
2007,RPG,76.8889
2007,Simulation,77.0000
2007,Strategy,81.5758
2008,Action,77.4933
2008,Adventure,75.9259
2008,Casual,73.3750
2008,Indie,76.5882
2008,Racing,79.7143
2008,RPG,75.0000
2008,Simulation,73.2222
2008,Sports,82.0000
2008,Strategy,73.1892
2009,Action,72.0391
2009,Adventure,75.0735
2009,Casual,73.9259
2009,"Free to Play",79.0000
2009,Indie,75.4386
2009,"Massively Multiplayer",85.6667
2009,Racing,64.6667
2009,RPG,79.2553
2009,Simulation,73.5238
2009,Sports,84.3333
2009,Strategy,76.1176
2010,Action,73.8774
2010,Adventure,74.3036
2010,Casual,70.4815
2010,Indie,72.4746
2010,"Massively Multiplayer",79.0000
2010,Racing,77.3333
2010,RPG,77.5000
2010,Simulation,66.2308
2010,Sports,73.4000
2010,Strategy,70.9048
2011,Action,70.0859
2011,Adventure,71.4035
2011,Casual,74.1143
2011,"Free to Play",73.5385
2011,Indie,72.0460
2011,"Massively Multiplayer",73.5385
2011,Racing,66.9231
2011,RPG,73.4364
2011,Simulation,73.3235
2011,Sports,80.8333
2011,Strategy,72.1605
2012,Action,69.7362
2012,Adventure,72.9700
2012,Casual,73.8710
2012,"Free to Play",77.4286
2012,Indie,71.2714
2012,"Massively Multiplayer",72.3636
2012,Racing,70.6000
2012,RPG,71.7692
2012,Simulation,68.2500
2012,Sports,82.0000
2012,Strategy,68.9890
2013,Action,69.6296
2013,Adventure,72.5180
2013,Casual,71.0833
2013,"Early Access",69.0000
2013,"Free to Play",71.7826
2013,Indie,70.6904
2013,"Massively Multiplayer",72.4167
2013,Racing,73.9000
2013,RPG,72.2254
2013,Simulation,70.1081
2013,Sports,71.1579
2013,Strategy,71.0297
2014,Action,68.1502
2014,Adventure,68.6912
2014,Casual,68.3000
2014,"Early Access",70.1250
2014,"Free to Play",66.5000
2014,Indie,69.2601
2014,"Massively Multiplayer",73.5500
2014,Racing,72.0000
2014,RPG,70.3058
2014,Simulation,71.2000
2014,Sports,73.1905
2014,Strategy,71.1353
2015,Action,71.1755
2015,Adventure,69.7405
2015,Casual,68.6765
2015,"Early Access",71.5111
2015,"Free to Play",70.0000
2015,Indie,69.9722
2015,"Massively Multiplayer",72.6000
2015,Racing,73.4737
2015,RPG,73.0225
2015,Simulation,70.8730
2015,Sports,76.4545
2015,Strategy,72.0446
2016,Action,68.8571
2016,Adventure,71.3729
2016,Casual,68.4286
2016,"Early Access",72.0000
2016,"Free to Play",76.2000
2016,Indie,71.3596
2016,"Massively Multiplayer",69.0000
2016,Racing,76.0000
2016,RPG,74.7353
2016,Simulation,73.2857
2016,Sports,93.0000
2016,Strategy,73.6667
2016,"Video Production",73.0000
