loccountrycode,count(*)
AD,3655
AE,10726
AF,25213
AG,2152
AI,1582
AL,11511
AM,4708
AN,915
AO,3633
AQ,9237
AR,80394
AS,4866
AT,72052
AU,331384
AW,2602
AZ,6413
BA,14273
BB,2271
BD,3008
BE,119779
BF,1046
BG,23395
BH,2993
BI,614
BJ,1506
BM,2937
BN,2229
BO,4691
BR,448991
BS,3365
BT,2332
BV,624
BW,1187
BY,51685
BZ,1743
CA,435664
CC,1075
CF,501
CG,1268
CH,51645
CI,766
CK,575
CL,97079
CM,733
CN,166409
CO,16869
CR,6273
CU,3527
CV,575
CX,3490
CY,5344
CZ,78986
DE,867068
DJ,1676
DK,189580
DM,506
DO,3852
DZ,12971
EC,6807
EE,23285
EG,7557
EH,593
ER,343
ES,209909
ET,1111
FI,120015
FJ,1707
FK,549
FM,371
FO,2371
FR,595435
FX,74802
GA,682
GB,596861
GD,494
GE,5652
GF,1162
GH,938
GI,816
GL,1307
GM,403
GN,276
GP,1407
GQ,264
GR,45132
GT,3347
GU,1089
GW,300
GY,405
HK,28008
HM,1760
HN,1838
HR,24372
HT,992
HU,69548
ID,36281
IE,32251
IL,35614
IN,42351
IO,1172
IQ,4543
IR,5069
IS,11973
IT,134706
JM,9365
JO,3609
JP,109092
KE,1056
KG,2476
KH,2381
KI,333
KM,368
KN,415
KR,140211
KW,4131
KY,822
KZ,38698
LA,994
LB,3120
LC,1175
LI,718
LK,2656
LR,236
LS,205
LT,36789
LU,5156
LV,24330
LY,1119
MA,7541
MC,1187
MD,7301
MG,1297
MH,264
ML,357
MM,1224
MN,3669
MO,2052
MP,496
MQ,1127
MR,153
MS,145
MT,3471
MU,990
MV,694
MW,232
MX,43927
MY,58805
MZ,541
NA,864
NC,1493
NE,2541
NF,492
NG,1433
NI,957
NL,160819
NO,146677
NP,1120
NR,292
NU,558
NZ,49953
OM,1405
PA,3683
PE,31394
PF,1249
PG,603
PH,69945
PK,8350
PL,364928
PM,278
PN,446
PR,7013
PT,130861
PW,324
PY,2256
QA,2679
RE,3674
RO,114997
RU,1153907
RW,1968
SA,14179
SB,335
SC,548
SD,511
SE,268689
SG,55634
SH,314
SI,13232
SJ,397
SK,34526
SL,507
SM,688
SN,669
SO,1563
SR,370
ST,373
SV,2472
SY,1485
SZ,832
TC,255
TD,669
TF,805
TG,761
TH,57603
TJ,987
TK,307
TM,636
TN,6275
TO,401
TP,491
TR,80343
TT,2558
TV,420
TW,41042
TZ,450
UA,193874
UG,1378
UM,43039
US,2311223
UY,6226
UZ,2697
VA,3381
VC,585
VE,34598
VG,1117
VI,7594
VN,21399
VU,449
WF,590
WS,654
YE,841
YT,172
YU,23753
ZA,34046
ZM,1107
ZR,524
ZW,6538
